-149.868307,61.140133,"McDonalds [WM]-Anchorage,AK","8900 Old Seward Hwy [WM], Anchorage,AK, (907) 344-5831"
-149.88113,61.192426,"McDonalds [WM]-Anchorage,AK","3101 A St [WM], Anchorage,AK, (907) 561-5137"
-149.898633,61.194753,"McDonalds-Anchorage,AK","800 W Northern Lights Blvd, Anchorage,AK, (907) 561-5525"
-149.870565,61.188348,"McDonalds-Anchorage,AK","701 E 36th Ave, Anchorage,AK, (907) 563-0658"
-149.863246,61.139884,"McDonalds-Anchorage,AK","8915 Old Seward Hwy, Anchorage,AK, (907) 344-4231"
-149.85796,61.108444,"McDonalds-Anchorage,AK","1320 Huffman Rd, Anchorage,AK, (907) 345-5932"
-149.832372,61.181187,"McDonalds-Anchorage,AK","2601 E Tudor Rd, Anchorage,AK, (907) 562-2108"
-149.823633,61.219353,"McDonalds-Anchorage,AK","3006 Mountain View Dr, Anchorage,AK, (907) 274-5686"
-149.775086,61.209365,"McDonalds-Anchorage,AK","5716 Debarr Rd, Anchorage,AK, (907) 333-0413"
-149.732706,61.221371,"McDonalds-Anchorage,AK","255 Muldoon Rd, Anchorage,AK, (907) 337-0810"
-149.979956,61.173019,"McDonalds-Anchorage,AK","5000 W International Airport Rd, Anchorage,AK, (907) 243-0085"
-149.858384,61.21755,"McDonalds-Anchorage,AK","1166 North Muldoon Road [Glenn Hwy], Anchorage,AK 99504, (907) 337-0810"
-149.950832,61.137056,"McDonalds PlayPlace-Anchorage,AK","3828 W Dimond Blvd, Anchorage,AK, (907) 248-0597"
-149.936781,61.181524,"McDonalds PlayPlace-Anchorage,AK","4350 Spenard Rd, Anchorage,AK, (907) 243-5122"
-149.835088,61.138203,"McDonalds PlayPlace-Anchorage,AK","9100 Lake Otis Pky, Anchorage,AK, (907) 349-0285"
-149.732719,61.192846,"McDonalds PlayPlace-Anchorage,AK","3035 Muldoon Rd, Anchorage,AK, (907) 338-7377"
-149.571214,61.327006,"McDonalds PlayPlace-Eagle River,AK","11808 Old Glenn Hwy, Eagle River,AK, (907) 694-4500"
-147.759108,64.837296,"McDonalds PlayPlace-Fairbanks,AK","1930 Airport Way, Fairbanks,AK, (907) 452-4600"
-147.696614,64.859384,"McDonalds PlayPlace-Fairbanks,AK","449 Harold Bentley Ave, Fairbanks,AK, (907) 451-0770"
-147.820117,64.848734,"McDonalds PlayPlace-Fairbanks,AK","3905 Geist Rd, Fairbanks,AK, (907) 474-2010"
-151.523064,59.642696,"McDonalds-Homer,AK","3656 Ben Walters Ln, Homer,AK, (907) 235-5400"
-134.577404,58.364487,"McDonalds PlayPlace-Juneau,AK","2285 Trout St, Juneau,AK 99801-8036, (907) 789-4653"
-151.235906,60.559838,"McDonalds PlayPlace-Kenai,AK","10447 Kenai Spur Hwy, Kenai,AK, (907) 283-4008"
-131.674032,55.349458,"McDonalds-Ketchikan,AK","2417 Tongass Ave Ste 108, Ketchikan,AK 99901, (907) 225-1704"
-152.406682,57.790858,"McDonalds PlayPlace-Kodiak,AK","209 Thorsheim Ave, Kodiak,AK 99615-6036, (907) 486-3030"
-147.351417,64.758068,"McDonalds PlayPlace-North Pole,AK","352 N Santa Claus Ln, North Pole,AK, (907) 488-7779"
-149.123657,61.599019,"McDonalds-Palmer,AK","600 W Daron Dr, Palmer,AK, (907) 746-0335"
-135.347957,57.059566,"McDonalds-Sitka,AK","913 Halibut Point Rd, Sitka,AK 99835-7105, (907) 747-8709"
-151.071002,60.48309,"McDonalds-Soldotna,AK","44420 Sterling Hwy, Soldotna,AK, (907) 262-1074"
-149.364088,61.569269,"McDonalds [WM]-Wasilla,AK","1350 S Seward Meridian [WM], Wasilla,AK, (907) 373-2523"
-149.430898,61.581432,"McDonalds PlayPlace-Wasilla,AK","801 E Parks Hwy, Wasilla,AK, (907) 376-4433"
-86.96323,33.61071,"McDonalds PlayPlace-Adamsville,AL","5721 Veterans Memorial Pkwy, Adamsville,AL, (205) 674-7288"
-86.805218,33.228322,"McDonalds-Alabaster,AL","205 S Colonial Dr, Alabaster,AL, (205) 621-2805"
-86.81177,33.26258,"McDonalds-Alabaster,AL","1499 1st St N, Alabaster,AL, (205) 664-3761"
-86.20708,34.2767,"McDonalds PlayPlace-Albertville,AL","7375 Us Hwy 431, Albertville,AL, (256) 878-6755"
-85.95846,32.92119,"McDonalds PlayPlace-Alexander City,AL","4094 Highway 280, Alexander City,AL, (256) 329-1283"
-86.39416,34.11883,"McDonalds-Altoona,AL","87134 Us Hwy 278, Altoona,AL, (205) 466-5211"
-86.51839,31.27594,"McDonalds-Andalusia,AL","315 US Hwy Byp W, Andalusia,AL, (334) 222-7875"
